#,Company,Symbol,Weight,Price,Chg,% Chg
118,Baxter International Inc.,BAX,0.199686,76.34,-1.83,(-2.34%)
119,Boston Scientific Corporation,BSX,0.197509,28.00,-0.28,(-0.97%)
120,Progressive Corporation,PGR,0.196469,70.60,3.56,(5.31%)
121,Global Payments Inc.,GPN,0.19594,126.13,-4.39,(-3.36%)
122,Regeneron Pharmaceuticals Inc.,REGN,0.195828,463.01,-26.82,(-5.48%)
123,Waste Management Inc.,WM,0.195031,98.62,-1.24,(-1.24%)
124,Morgan Stanley,MS,0.190639,30.70,-0.22,(-0.71%)
125,Deere & Company,DE,0.188468,115.54,-4.12,(-3.44%)
126,Edwards Lifesciences Corporation,EW,0.18738,174.01,-6.36,(-3.53%)
127,Applied Materials Inc.,AMAT,0.18576,41.31,1.12,(2.79%)
128,Sherwin-Williams Company,SHW,0.182831,423.00,-22.12,(-4.97%)
129,Walgreens Boots Alliance Inc,WBA,0.182458,44.98,-3.58,(-7.36%)
130,Charles Schwab Corporation,SCHW,0.182347,32.25,0.43,(1.35%)
131,Dollar General Corporation,DG,0.182346,140.52,-2.48,(-1.73%)
132,Norfolk Southern Corporation,NSC,0.178178,129.32,-7.01,(-5.14%)
133,L3Harris Technologies Inc,LHX,0.177297,153.09,-7.05,(-4.40%)
134,Aon plc,AON,0.177183,153.60,2.52,(1.67%)
135,Estee Lauder Companies Inc. Class A,EL,0.174586,149.98,-6.53,(-4.17%)
136,Newmont Corporation,NEM,0.170534,42.49,0.75,(1.80%)
137,Humana Inc.,HUM,0.170057,249.22,-6.97,(-2.72%)
138,Raytheon Company,RTN,0.168527,127.15,5.81,(4.78%)
139,Analog Devices Inc.,ADI,0.167002,89.85,-0.47,(-0.52%)
140,Illumina Inc.,ILMN,0.16563,243.57,18.77,(8.35%)
141,Digital Realty Trust Inc.,DLR,0.164509,123.98,-1.29,(-1.03%)
142,Autodesk Inc.,ADSK,0.163892,150.47,1.24,(0.83%)
143,General Mills Inc.,GIS,0.162629,52.86,-0.82,(-1.53%)
144,Exelon Corporation,EXC,0.157355,32.62,0.21,(0.65%)
145,Centene Corporation,CNC,0.155829,51.35,-2.25,(-4.20%)
146,Roper Technologies Inc.,ROP,0.15575,295.74,-4.28,(-1.42%)
147,Xcel Energy Inc.,XEL,0.152165,56.90,-1.09,(-1.88%)
148,Eaton Corp. Plc,ETN,0.150101,68.27,-4.18,(-5.77%)
149,Moody's Corporation,MCO,0.144807,176.00,-1.91,(-1.07%)
150,WEC Energy Group Inc,WEC,0.141834,84.03,-6.38,(-7.06%)
151,Sempra Energy,SRE,0.141314,104.40,4.40,(4.40%)
152,Lam Research Corporation,LRCX,0.14103,210.25,15.24,(7.81%)
153,ConocoPhillips,COP,0.140733,27.20,1.61,(6.27%)
154,Emerson Electric Co.,EMR,0.140363,45.00,-1.03,(-2.23%)
155,Public Storage,PSA,0.140018,183.72,-3.88,(-2.07%)
156,SBA Communications Corp. Class A,SBAC,0.138303,237.74,-7.40,(-3.02%)
157,General Dynamics Corporation,GD,0.13818,117.84,-0.19,(-0.16%)
158,Kroger Co.,KR,0.13659,31.99,-2.19,(-6.41%)
159,FedEx Corporation,FDX,0.133357,111.98,0.30,(0.27%)
160,Consolidated Edison Inc.,ED,0.13311,77.65,-2.44,(-3.05%)
161,Electronic Arts Inc.,EA,0.131656,90.24,0.18,(0.20%)
162,Motorola Solutions Inc.,MSI,0.128579,142.83,-6.89,(-4.60%)
163,Cognizant Technology Solutions Corporation Class A,CTSH,0.127487,44.65,-1.84,(-3.96%)
164,Bank of New York Mellon Corporation,BK,0.126188,30.11,0.11,(0.37%)
